50, 50
14, 26, 9
22, 27, 9
0, 28, 9
22, 29, 9
6, 30, 9
18, 31, 9
8, 32, 9
20, 33, 9
9, 34, 9
4, 35, 9
4, 36, 9
3, 37, 9
8, 38, 9
8, 39, 9
3, 40, 9
12, 41, 9
3, 42, 9
15, 43, 9
3, 44, 9
23, 45, 9
10, 46, 9
19, 47, 9
2, 48, 9
8, 49, 9
5, 0, 10
6, 1, 10
0, 2, 10
11, 3, 10
11, 4, 10
11, 5, 10
16, 6, 10
22, 7, 10
14, 8, 10
7, 9, 10
20, 10, 10
3, 11, 10
19, 12, 10
24, 13, 10
10, 14, 10
6, 15, 10
20, 16, 10
3, 17, 10
21, 18, 10
13, 19, 10
19, 20, 10
23, 21, 10
20, 22, 10
1, 23, 10
0, 24, 10
15, 25, 10
25, 26, 10
22, 27, 10
25, 28, 10
18, 29, 10
5, 30, 10
9, 31, 10
7, 32, 10
25, 33, 10
14, 34, 10
21, 35, 10
10, 36, 10
2, 37, 10
0, 38, 10
23, 39, 10
7, 40, 10
11, 41, 10
24, 42, 10
12, 43, 10
15, 44, 10
7, 45, 10
14, 46, 10
9, 47, 10
7, 48, 10
18, 49, 10
18, 0, 11
4, 1, 11
18, 2, 11
16, 3, 11
14, 4, 11
15, 5, 11
6, 6, 11
9, 7, 11
1, 8, 11
0, 9, 11
9, 10, 11
24, 11, 11
15, 12, 11
13, 13, 11
22, 14, 11
14, 15, 11
14, 16, 11
17, 17, 11
5, 18, 11
7, 19, 11
10, 20, 11
15, 21, 11
22, 22, 11
3, 23, 11
12, 24, 11
0, 25, 11
19, 26, 11
19, 27, 11
2, 28, 11
17, 29, 11
17, 30, 11
0, 31, 11
11, 32, 11
9, 33, 11
17, 34, 11
5, 35, 11
21, 36, 11
24, 37, 11
24, 38, 11
8, 39, 11
5, 40, 11
1, 41, 11
17, 42, 11
8, 43, 11
5, 44, 11
4, 45, 11
21, 46, 11
11, 47, 11
19, 48, 11
14, 49, 11
21, 0, 12
5, 1, 12
15, 2, 12
13, 3, 12
3, 4, 12
0, 5, 12
2, 6, 12
13, 7, 12
6, 8, 12
1, 9, 12
21, 10, 12
25, 11, 12
8, 12, 12
6, 13, 12
18, 14, 12
15, 15, 12
6, 16, 12
12, 17, 12
3, 18, 12
15, 19, 12
0, 20, 12
18, 21, 12
2, 22, 12
20, 23, 12
6, 24, 12
11, 25, 12
23, 26, 12
18, 27, 12
18, 28, 12
19, 29, 12
5, 30, 12
0, 31, 12
9, 32, 12
6, 33, 12
8, 34, 12
17, 35, 12
12, 36, 12
24, 37, 12
12, 38, 12
24, 39, 12
1, 40, 12
6, 41, 12
7, 42, 12
7, 43, 12
13, 44, 12
12, 45, 12
25, 46, 12
10, 47, 12
1, 48, 12
25, 49, 12
0, 0, 13
22, 1, 13
2, 2, 13
12, 3, 13
25, 4, 13
14, 5, 13
8, 6, 13
15, 7, 13
17, 8, 13
4, 9, 13
24, 10, 13
6, 11, 13
14, 12, 13
14, 13, 13
14, 14, 13
25, 15, 13
21, 16, 13
11, 17, 13
18, 18, 13
10, 19, 13
13, 20, 13
15, 21, 13
20, 22, 13
16, 23, 13
14, 24, 13
12, 25, 13
16, 26, 13
14, 27, 13
24, 28, 13
12, 29, 13
0, 30, 13
15, 31, 13
1, 32, 13
17, 33, 13
25, 34, 13
7, 35, 13
23, 36, 13
6, 37, 13
0, 38, 13
12, 39, 13
12, 40, 13
22, 41, 13
25, 42, 13
24, 43, 13
24, 44, 13
16, 45, 13
2, 46, 13
11, 47, 13
17, 48, 13
23, 49, 13
7, 0, 14
2, 1, 14
10, 2, 14
17, 3, 14
13, 4, 14
21, 5, 14
21, 6, 14
13, 7, 14
24, 8, 14
11, 9, 14
15, 10, 14
25, 11, 14
25, 12, 14
25, 13, 14
25, 14, 14
2, 15, 14
10, 16, 14
3, 17, 14
24, 18, 14
1, 19, 14
22, 20, 14
8, 21, 14
11, 22, 14
17, 23, 14
5, 24, 14
11, 25, 14
16, 26, 14
6, 27, 14
7, 28, 14
11, 29, 14
25, 30, 14
7, 31, 14
10, 32, 14
24, 33, 14
6, 34, 14
12, 35, 14
7, 36, 14
25, 37, 14
24, 38, 14
25, 39, 14
6, 40, 14
6, 41, 14
12, 42, 14
15, 43, 14
22, 44, 14
24, 45, 14
13, 46, 14
7, 47, 14
17, 48, 14
14, 49, 14
18, 0, 15
1, 1, 15
1, 2, 15
17, 3, 15
12, 4, 15
12, 5, 15
25, 6, 15
14, 7, 15
14, 8, 15
1, 9, 15
18, 10, 15
0, 11, 15
3, 12, 15
0, 13, 15
19, 14, 15
16, 15, 15
6, 16, 15
3, 17, 15
9, 18, 15
4, 19, 15
24, 20, 15
7, 21, 15
6, 22, 15
15, 23, 15
11, 24, 15
9, 25, 15
11, 26, 15
23, 27, 15
10, 28, 15
10, 29, 15
6, 30, 15
24, 31, 15
13, 32, 15
18, 33, 15
20, 34, 15
18, 35, 15
17, 36, 15
23, 37, 15
4, 38, 15
16, 39, 15
18, 40, 15
14, 41, 15
7, 42, 15
17, 43, 15
0, 44, 15
14, 45, 15
2, 46, 15
21, 47, 15
7, 48, 15
25, 49, 15
7, 0, 16
11, 1, 16
13, 2, 16
19, 3, 16
24, 4, 16
24, 5, 16
0, 6, 16
8, 7, 16
19, 8, 16
5, 9, 16
1, 10, 16
5, 11, 16
10, 12, 16
19, 13, 16
25, 14, 16
23, 15, 16
21, 16, 16
18, 17, 16
12, 18, 16
17, 19, 16
4, 20, 16
23, 21, 16
15, 22, 16
4, 23, 16
13, 24, 16
10, 25, 16
24, 26, 16
6, 27, 16
14, 28, 16
5, 29, 16
18, 30, 16
2, 31, 16
14, 32, 16
8, 33, 16
17, 34, 16
24, 35, 16
15, 36, 16
18, 37, 16
0, 38, 16
1, 39, 16
22, 40, 16
12, 41, 16
10, 42, 16
25, 43, 16
9, 44, 16
5, 45, 16
7, 46, 16
1, 47, 16
18, 48, 16
20, 49, 16
21, 0, 17
10, 1, 17
17, 2, 17
3, 3, 17
2, 4, 17
6, 5, 17
20, 6, 17
24, 7, 17
10, 8, 17
16, 9, 17
5, 10, 17
8, 11, 17
21, 12, 17
1, 13, 17
18, 14, 17
1, 15, 17
4, 16, 17
2, 17, 17
4, 18, 17
19, 19, 17
10, 20, 17
8, 21, 17
11, 22, 17
20, 23, 17
21, 24, 17
3, 25, 17
20, 26, 17
20, 27, 17
11, 28, 17
8, 29, 17
16, 30, 17
10, 31, 17
7, 32, 17
4, 33, 17
13, 34, 17
25, 35, 17
8, 36, 17
0, 37, 17
2, 38, 17
19, 39, 17
8, 40, 17
19, 41, 17
21, 42, 17
20, 43, 17
6, 44, 17
16, 45, 17
11, 46, 17
25, 47, 17
13, 48, 17
25, 49, 17
7, 0, 18
18, 1, 18
1, 2, 18
23, 3, 18
15, 4, 18
24, 5, 18
6, 6, 18
4, 7, 18
22, 8, 18
10, 9, 18
4, 10, 18
8, 11, 18
0, 12, 18
10, 13, 18
11, 14, 18
6, 15, 18
16, 16, 18
0, 17, 18
17, 18, 18
25, 19, 18
0, 20, 18
23, 21, 18
3, 22, 18
18, 23, 18
14, 24, 18
15, 25, 18
24, 26, 18
21, 27, 18
22, 28, 18
13, 29, 18
14, 30, 18
7, 31, 18
21, 32, 18
24, 33, 18
3, 34, 18
24, 35, 18
2, 36, 18
20, 37, 18
11, 38, 18
24, 39, 18
24, 40, 18
24, 41, 18
16, 42, 18
25, 43, 18
18, 44, 18
21, 45, 18
15, 46, 18
11, 47, 18
23, 48, 18
6, 49, 18
19, 0, 19
4, 1, 19
10, 2, 19
11, 3, 19
5, 4, 19
14, 5, 19
18, 6, 19
13, 7, 19
19, 8, 19
3, 9, 19
11, 10, 19
1, 11, 19
12, 12, 19
8, 13, 19
20, 14, 19
17, 15, 19
1, 16, 19
24, 17, 19
20, 18, 19
8, 19, 19
19, 20, 19
12, 21, 19
19, 22, 19
15, 23, 19
1, 24, 19
7, 25, 19
4, 26, 19
1, 27, 19
10, 28, 19
0, 29, 19
11, 30, 19
8, 31, 19
15, 32, 19
12, 33, 19
15, 34, 19
0, 35, 19
14, 36, 19
20, 37, 19
0, 38, 19
3, 39, 19
20, 40, 19
21, 41, 19
11, 42, 19
14, 43, 19
5, 44, 19
23, 45, 19
11, 46, 19
11, 47, 19
15, 48, 19
15, 49, 19
2, 0, 20
8, 1, 20
18, 2, 20
8, 3, 20
6, 4, 20
2, 5, 20
11, 6, 20
9, 7, 20
22, 8, 20
1, 9, 20
4, 10, 20
12, 11, 20
21, 12, 20
3, 13, 20
21, 14, 20
3, 15, 20
15, 16, 20
21, 17, 20
14, 18, 20
11, 19, 20
22, 20, 20
6, 21, 20
16, 22, 20
1, 23, 20
12, 24, 20
15, 25, 20
1, 26, 20
14, 27, 20
19, 28, 20
8, 29, 20
0, 30, 20
22, 31, 20
15, 32, 20
7, 33, 20
5, 34, 20
2, 35, 20
18, 36, 20
5, 37, 20
13, 38, 20
13, 39, 20
6, 40, 20
10, 41, 20
1, 42, 20
18, 43, 20
11, 44, 20
2, 45, 20
17, 46, 20
25, 47, 20
5, 48, 20
24, 49, 20
12, 0, 21
8, 1, 21
8, 2, 21
25, 3, 21
14, 4, 21
18, 5, 21
8, 6, 21
5, 7, 21
0, 8, 21
13, 9, 21
7, 10, 21
9, 11, 21
16, 12, 21
17, 13, 21
12, 14, 21
22, 15, 21
6, 16, 21
9, 17, 21
15, 18, 21
15, 19, 21
5, 20, 21
3, 21, 21
0, 22, 21
5, 23, 21
12, 24, 21
16, 25, 21
7, 26, 21
8, 27, 21
4, 28, 21
17, 29, 21
25, 30, 21
16, 31, 21
1, 32, 21
20, 33, 21
13, 34, 21
15, 35, 21
10, 36, 21
23, 37, 21
12, 38, 21
20, 39, 21
3, 40, 21
20, 41, 21
18, 42, 21
4, 43, 21
10, 44, 21
22, 45, 21
20, 46, 21
5, 47, 21
16, 48, 21
4, 49, 21
16, 0, 22
25, 1, 22
12, 2, 22
4, 3, 22
10, 4, 22
23, 5, 22
17, 6, 22
10, 7, 22
21, 8, 22
22, 9, 22
14, 10, 22
14, 11, 22
20, 12, 22
13, 13, 22
21, 14, 22
5, 15, 22
12, 16, 22
25, 17, 22
12, 18, 22
8, 19, 22
5, 20, 22
10, 21, 22
25, 22, 22
14, 23, 22
22, 24, 22
13, 25, 22
12, 26, 22
4, 27, 22
12, 28, 22
13, 29, 22
10, 30, 22
24, 31, 22
15, 32, 22
10, 33, 22
16, 34, 22
16, 35, 22
0, 36, 22
9, 37, 22
1, 38, 22
22, 39, 22
11, 40, 22
24, 41, 22
5, 42, 22
2, 43, 22
25, 44, 22
12, 45, 22
22, 46, 22
7, 47, 22
18, 48, 22
23, 49, 22
15, 0, 23
8, 1, 23
16, 2, 23
18, 3, 23
17, 4, 23
1, 5, 23
17, 6, 23
22, 7, 23
3, 8, 23
22, 9, 23
9, 10, 23
3, 11, 23
19, 12, 23
22, 13, 23
9, 14, 23
0, 15, 23
1, 16, 23
6, 17, 23
13, 18, 23
4, 19, 23
15, 20, 23
13, 21, 23
9, 22, 23
23, 23, 23
24, 24, 23
1, 25, 23
10, 26, 23
2, 27, 23
14, 28, 23
14, 29, 23
9, 30, 23
17, 31, 23
14, 32, 23
15, 33, 23
10, 34, 23
13, 35, 23
13, 36, 23
19, 37, 23
1, 38, 23
11, 39, 23
15, 40, 23
13, 41, 23
11, 42, 23
3, 43, 23
19, 44, 23
9, 45, 23
19, 46, 23
20, 47, 23
14, 48, 23
17, 49, 23
21, 0, 24
20, 1, 24
13, 2, 24
11, 3, 24
8, 4, 24
9, 5, 24
12, 6, 24
13, 7, 24
7, 8, 24
8, 9, 24
15, 10, 24
7, 11, 24
1, 12, 24
23, 13, 24
6, 14, 24
9, 15, 24
20, 16, 24
23, 17, 24
9, 18, 24
16, 19, 24
23, 20, 24
16, 21, 24
25, 22, 24
6, 23, 24
24, 24, 24
5, 25, 24
15, 26, 24
1, 27, 24
18, 28, 24
9, 29, 24
9, 30, 24
10, 31, 24
5, 32, 24
5, 33, 24
16, 34, 24
13, 35, 24
17, 36, 24
18, 37, 24
15, 38, 24
20, 39, 24
0, 40, 24
2, 41, 24
12, 42, 24
13, 43, 24
10, 44, 24
13, 45, 24
21, 46, 24
4, 47, 24
4, 48, 24
23, 49, 24
1, 0, 25
2, 1, 25
7, 2, 25
1, 3, 25
17, 4, 25
4, 5, 25
6, 6, 25
7, 7, 25
22, 8, 25
7, 9, 25
18, 10, 25
11, 11, 25
0, 12, 25
16, 13, 25
19, 14, 25
18, 15, 25
10, 16, 25
5, 17, 25
24, 18, 25
1, 19, 25
0, 20, 25
7, 21, 25
10, 22, 25
23, 23, 25
8, 24, 25
15, 25, 25
17, 26, 25
23, 27, 25
25, 28, 25
24, 29, 25
2, 30, 25
20, 31, 25
9, 32, 25
7, 33, 25
20, 34, 25
0, 35, 25
19, 36, 25
4, 37, 25
17, 38, 25
24, 39, 25
11, 40, 25
10, 41, 25
14, 42, 25
14, 43, 25
10, 44, 25
25, 45, 25
12, 46, 25
15, 47, 25
14, 48, 25
20, 49, 25
20, 0, 26
25, 1, 26
19, 2, 26
5, 3, 26
9, 4, 26
19, 5, 26
3, 6, 26
3, 7, 26
7, 8, 26
16, 9, 26
9, 10, 26
1, 11, 26
20, 12, 26
17, 13, 26
3, 14, 26
25, 15, 26
17, 16, 26
14, 17, 26
7, 18, 26
19, 19, 26
11, 20, 26
8, 21, 26
6, 22, 26
24, 23, 26
23, 24, 26
20, 25, 26
6, 26, 26
16, 27, 26
24, 28, 26
7, 29, 26
9, 30, 26
13, 31, 26
2, 32, 26
24, 33, 26
3, 34, 26
8, 35, 26
12, 36, 26
21, 37, 26
11, 38, 26
5, 39, 26
22, 40, 26
17, 41, 26
23, 42, 26
3, 43, 26
5, 44, 26
11, 45, 26
16, 46, 26
10, 47, 26
8, 48, 26
1, 49, 26
21, 0, 27
3, 1, 27
19, 2, 27
3, 3, 27
21, 4, 27
23, 5, 27
17, 6, 27
14, 7, 27
25, 8, 27
14, 9, 27
22, 10, 27
10, 11, 27
17, 12, 27
16, 13, 27
9, 14, 27
14, 15, 27
17, 16, 27
8, 17, 27
17, 18, 27
11, 19, 27
4, 20, 27
5, 21, 27
9, 22, 27
11, 23, 27
15, 24, 27
21, 25, 27
8, 26, 27
4, 27, 27
3, 28, 27
18, 29, 27
12, 30, 27
13, 31, 27
1, 32, 27
10, 33, 27
5, 34, 27
22, 35, 27
4, 36, 27
3, 37, 27
14, 38, 27
11, 39, 27
21, 40, 27
6, 41, 27
12, 42, 27
25, 43, 27
13, 44, 27
2, 45, 27
12, 46, 27
2, 47, 27
13, 48, 27
15, 49, 27
4, 0, 28
11, 1, 28
16, 2, 28
23, 3, 28
19, 4, 28
6, 5, 28
1, 6, 28
2, 7, 28
13, 8, 28
1, 9, 28
19, 10, 28
15, 11, 28
21, 12, 28
2, 13, 28
2, 14, 28
19, 15, 28
20, 16, 28
0, 17, 28
17, 18, 28
24, 19, 28
22, 20, 28
16, 21, 28
21, 22, 28
23, 23, 28
21, 24, 28
15, 25, 28
6, 26, 28
15, 27, 28
1, 28, 28
22, 29, 28
17, 30, 28
22, 31, 28
17, 32, 28
17, 33, 28
4, 34, 28
12, 35, 28
8, 36, 28
9, 37, 28
21, 38, 28
4, 39, 28
9, 40, 28
10, 41, 28
12, 42, 28
24, 43, 28
22, 44, 28
9, 45, 28
13, 46, 28
11, 47, 28
3, 48, 28
1, 49, 28
24, 0, 29
18, 1, 29
7, 2, 29
23, 3, 29
12, 4, 29
19, 5, 29
22, 6, 29
16, 7, 29
0, 8, 29
23, 9, 29
4, 10, 29
15, 11, 29
15, 12, 29
21, 13, 29
0, 14, 29
25, 15, 29
10, 16, 29
15, 17, 29
22, 18, 29
16, 19, 29
20, 20, 29
16, 21, 29
12, 22, 29
17, 23, 29
18, 24, 29
23, 25, 29
10, 26, 29
13, 27, 29
23, 28, 29
3, 29, 29
5, 30, 29
19, 31, 29
9, 32, 29
16, 33, 29
3, 34, 29
19, 35, 29
3, 36, 29
23, 37, 29
0, 38, 29
10, 39, 29
16, 40, 29
16, 41, 29
6, 42, 29
4, 43, 29
24, 44, 29
19, 45, 29
23, 46, 29
17, 47, 29
18, 48, 29
11, 49, 29
6, 0, 30
22, 1, 30
20, 2, 30
8, 3, 30
3, 4, 30
15, 5, 30
3, 6, 30
13, 7, 30
12, 8, 30
17, 9, 30
24, 10, 30
7, 11, 30
6, 12, 30
13, 13, 30
19, 14, 30
8, 15, 30
13, 16, 30
11, 17, 30
17, 18, 30
24, 19, 30
15, 20, 30
25, 21, 30
14, 22, 30
3, 23, 30
12, 24, 30
3, 25, 30
24, 26, 30
8, 27, 30
12, 28, 30
11, 29, 30
20, 30, 30
24, 31, 30
14, 32, 30
17, 33, 30
22, 34, 30
18, 35, 30
3, 36, 30
9, 37, 30
17, 38, 30
17, 39, 30
15, 40, 30
16, 41, 30
18, 42, 30
2, 43, 30
11, 44, 30
12, 45, 30
13, 46, 30
17, 47, 30
12, 48, 30
25, 49, 30
8, 0, 31
20, 1, 31
7, 2, 31
3, 3, 31
3, 4, 31
20, 5, 31
14, 6, 31
17, 7, 31
10, 8, 31
13, 9, 31
6, 10, 31
20, 11, 31
18, 12, 31
21, 13, 31
25, 14, 31
6, 15, 31
21, 16, 31
3, 17, 31
13, 18, 31
9, 19, 31
19, 20, 31
22, 21, 31
13, 22, 31
15, 23, 31
10, 24, 31
2, 25, 31
21, 26, 31
18, 27, 31
8, 28, 31
18, 29, 31
13, 30, 31
2, 31, 31
9, 32, 31
22, 33, 31
0, 34, 31
23, 35, 31
19, 36, 31
3, 37, 31
13, 38, 31
17, 39, 31
24, 40, 31
7, 41, 31
23, 42, 31
10, 43, 31
1, 44, 31
4, 45, 31
2, 46, 31
12, 47, 31
1, 48, 31
23, 49, 31
25, 0, 32
4, 1, 32
4, 2, 32
2, 3, 32
8, 4, 32
24, 5, 32
16, 6, 32
24, 7, 32
10, 8, 32
8, 9, 32
5, 10, 32
16, 11, 32
8, 12, 32
7, 13, 32
25, 14, 32
18, 15, 32
3, 16, 32
15, 17, 32
22, 18, 32
3, 19, 32
13, 20, 32
7, 21, 32
21, 22, 32
6, 23, 32
16, 24, 32
15, 25, 32
11, 26, 32
4, 27, 32
8, 28, 32
24, 29, 32
14, 30, 32
17, 31, 32
6, 32, 32
19, 33, 32
3, 34, 32
19, 35, 32
7, 36, 32
16, 37, 32
20, 38, 32
8, 39, 32
24, 40, 32
0, 41, 32
6, 42, 32
7, 43, 32
6, 44, 32
13, 45, 32
3, 46, 32
18, 47, 32
13, 48, 32
4, 49, 32
13, 0, 33
18, 1, 33
4, 2, 33
8, 3, 33
15, 4, 33
15, 5, 33
13, 6, 33
23, 7, 33
21, 8, 33
1, 9, 33
11, 10, 33
19, 11, 33
12, 12, 33
13, 13, 33
22, 14, 33
7, 15, 33
22, 16, 33
25, 17, 33
4, 18, 33
20, 19, 33
12, 20, 33
18, 21, 33
18, 22, 33
8, 23, 33
8, 24, 33
9, 25, 33
19, 26, 33
15, 27, 33
21, 28, 33
10, 29, 33
18, 30, 33
17, 31, 33
1, 32, 33
11, 33, 33
16, 34, 33
21, 35, 33
2, 36, 33
16, 37, 33
0, 38, 33
9, 39, 33
15, 40, 33
3, 41, 33
5, 42, 33
3, 43, 33
25, 44, 33
0, 45, 33
0, 46, 33
10, 47, 33
5, 48, 33
17, 49, 33
23, 0, 34
25, 1, 34
10, 2, 34
18, 3, 34
18, 4, 34
7, 5, 34
23, 6, 34
21, 7, 34
14, 8, 34
8, 9, 34
9, 10, 34
8, 11, 34
14, 12, 34
25, 13, 34
13, 14, 34
19, 15, 34
22, 16, 34
24, 17, 34
2, 18, 34
3, 19, 34
4, 20, 34
9, 21, 34
15, 22, 34
1, 23, 34
4, 24, 34
19, 25, 34
6, 26, 34
2, 27, 34
21, 28, 34
2, 29, 34
23, 30, 34
6, 31, 34
21, 32, 34
12, 33, 34
15, 34, 34
18, 35, 34
14, 36, 34
24, 37, 34
6, 38, 34
21, 39, 34
6, 40, 34
22, 41, 34
3, 42, 34
13, 43, 34
18, 44, 34
23, 45, 34
20, 46, 34
7, 47, 34
